VideoName,ConsensusTime(s),ParticipantsInAgreement,TotalMarksInCluster
friends1.mp4,50.495,6,6
friends1.mp4,99.932,7,7
friends1.mp4,204.651,5,5
friends1.mp4,242.555,6,6
friends1.mp4,281.103,6,6
friends1.mp4,305.308,6,6
friends1.mp4,333.776,7,7
friends1.mp4,344.235,5,5
friends1.mp4,375.73,7,7
friends1.mp4,449.507,7,8
friends1.mp4,536.538,6,6
friends1.mp4,577.183,8,8
friends1.mp4,610.73,6,6
friends1.mp4,621.334,6,6
friends1.mp4,780.342,5,5
friends1.mp4,833.321,5,5
friends1.mp4,859.566,7,7
friends1.mp4,891.849,6,6
friends1.mp4,895.531,5,5
friends1.mp4,923.889,6,6
friends1.mp4,990.957,5,5
friends1.mp4,1040.793,6,7
friends1.mp4,1057.531,5,5
friends1.mp4,1090.858,6,6
friends2.mp4,50.221,7,7
friends2.mp4,179.804,6,6
friends2.mp4,199.519,5,5
friends2.mp4,360.849,7,7
friends2.mp4,432.541,5,5
friends2.mp4,509.118,5,5
friends2.mp4,576.612,7,7
friends2.mp4,601.54,5,5
friends2.mp4,721.704,5,5
friends2.mp4,865.668,5,5
friends2.mp4,1007.503,6,6
friends2.mp4,1035.035,5,5
friends2.mp4,1163.2,6,6
friends2.mp4,1299.658,5,5
friends3.mp4,19.016,7,7
friends3.mp4,52.383,5,5
friends3.mp4,70.494,6,6
friends3.mp4,234.121,8,8
friends3.mp4,305.245,7,7
friends3.mp4,431.965,8,8
friends3.mp4,547.328,6,6
friends3.mp4,617.848,5,5
friends3.mp4,853.309,6,6
friends3.mp4,856.386,5,5
friends3.mp4,1064.35,6,6
friends3.mp4,1163.288,7,7
friends3.mp4,1166.544,5,5
friends3.mp4,1218.926,8,8
friends3.mp4,1287.893,5,5
friends3.mp4,1302.328,5,5
