VideoName,ConsensusTime(s),PercentileCutoff
friends1.mp4,50.427,90
friends1.mp4,99.968,90
friends1.mp4,110.398,90
friends1.mp4,123.435,90
friends1.mp4,145.598,90
friends1.mp4,205.569,90
friends1.mp4,243.376,90
friends1.mp4,281.184,90
friends1.mp4,305.954,90
friends1.mp4,333.332,90
friends1.mp4,345.065,90
friends1.mp4,375.051,90
friends1.mp4,449.362,90
friends1.mp4,500.207,90
friends1.mp4,536.711,90
friends1.mp4,577.125,90
friends1.mp4,611.022,90
friends1.mp4,621.452,90
friends1.mp4,780.504,90
friends1.mp4,833.956,90
friends1.mp4,860.03,90
friends1.mp4,893.927,90
friends1.mp4,923.912,90
friends1.mp4,990.401,90
friends1.mp4,1041.246,90
friends1.mp4,1058.194,90
friends1.mp4,1090.787,90
friends2.mp4,57.252,90
friends2.mp4,73.228,90
friends2.mp4,86.543,90
friends2.mp4,98.525,90
friends2.mp4,179.741,90
friends2.mp4,199.712,90
friends2.mp4,362.144,90
friends2.mp4,416.732,90
friends2.mp4,434.04,90
friends2.mp4,508.599,90
friends2.mp4,576.501,90
friends2.mp4,601.798,90
friends2.mp4,639.077,90
friends2.mp4,721.624,90
friends2.mp4,865.416,90
friends2.mp4,1007.877,90
friends2.mp4,1035.837,90
friends2.mp4,1163.652,90
friends2.mp4,1218.24,90
friends2.mp4,1299.456,90
friends3.mp4,18.668,90
friends3.mp4,53.212,90
friends3.mp4,78.455,90
friends3.mp4,87.755,90
friends3.mp4,99.712,90
friends3.mp4,221.942,90
friends3.mp4,232.571,90
friends3.mp4,305.643,90
friends3.mp4,401.302,90
friends3.mp4,431.859,90
friends3.mp4,547.446,90
friends3.mp4,619.19,90
friends3.mp4,834.421,90
friends3.mp4,854.35,90
friends3.mp4,1044.338,90
friends3.mp4,1064.267,90
friends3.mp4,1163.911,90
friends3.mp4,1218.383,90
friends3.mp4,1288.798,90
friends3.mp4,1302.084,90
