VideoName,ConsensusTime(s),PercentileCutoff
friends1.mp4,50.427,90
friends1.mp4,99.968,90
friends1.mp4,110.398,90
friends1.mp4,123.435,90
friends1.mp4,145.598,90
friends1.mp4,205.569,90
friends1.mp4,243.376,90
friends1.mp4,281.184,90
friends1.mp4,305.954,90
friends1.mp4,333.332,90
friends1.mp4,345.065,90
friends1.mp4,375.051,90
friends1.mp4,449.362,90
friends1.mp4,500.207,90
friends1.mp4,536.711,90
friends1.mp4,577.125,90
friends1.mp4,611.022,90
friends1.mp4,621.452,90
friends1.mp4,780.504,90
friends1.mp4,833.956,90
friends1.mp4,860.03,90
friends1.mp4,893.927,90
friends1.mp4,923.912,90
friends1.mp4,990.401,90
friends1.mp4,1041.246,90
friends1.mp4,1058.194,90
friends1.mp4,1090.787,90
