Second,Agreement
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,4
50,5
51,6
52,5
53,2
54,2
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,1
67,1
68,0
69,0
70,1
71,1
72,1
73,1
74,0
75,0
76,0
77,0
78,1
79,2
80,2
81,2
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,8
100,8
101,8
102,8
103,1
104,2
105,1
106,1
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,1
144,2
145,4
146,5
147,6
148,4
149,4
150,3
151,2
152,2
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,0
171,0
172,1
173,2
174,2
175,2
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,1
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,1
203,2
204,5
205,5
206,5
207,5
208,3
209,3
210,4
211,2
212,1
213,2
214,2
215,2
216,3
217,2
218,1
219,1
220,0
221,0
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,2
231,2
232,1
233,1
234,0
235,1
236,1
237,1
238,1
239,0
240,0
241,4
242,6
243,6
244,6
245,2
246,1
247,1
248,2
249,2
250,1
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,2
267,2
268,2
269,2
270,0
271,1
272,1
273,1
274,1
275,0
276,1
277,1
278,1
279,1
280,5
281,6
282,6
283,6
284,1
285,0
286,0
287,0
288,0
289,0
290,2
291,2
292,2
293,3
294,2
295,2
296,2
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,3
305,6
306,6
307,6
308,3
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,1
319,2
320,2
321,2
322,2
323,1
324,0
325,0
326,0
327,1
328,2
329,5
330,5
331,4
332,6
333,7
334,7
335,8
336,5
337,1
338,1
339,0
340,0
341,0
342,0
343,4
344,5
345,6
346,6
347,2
348,2
349,1
350,1
351,1
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,0
360,0
361,0
362,0
363,1
364,1
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,3
373,3
374,5
375,8
376,7
377,7
378,7
379,3
380,3
381,3
382,1
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,2
400,2
401,2
402,2
403,0
404,0
405,0
406,0
407,1
408,2
409,4
410,4
411,3
412,2
413,1
414,1
415,1
416,1
417,1
418,1
419,2
420,2
421,1
422,1
423,0
424,0
425,0
426,1
427,1
428,1
429,1
430,0
431,0
432,1
433,1
434,1
435,1
436,0
437,0
438,2
439,2
440,2
441,2
442,0
443,0
444,0
445,0
446,1
447,1
448,6
449,8
450,7
451,7
452,5
453,4
454,3
455,3
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,2
470,2
471,2
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,1
481,1
482,1
483,1
484,2
485,2
486,3
487,2
488,2
489,2
490,1
491,2
492,1
493,1
494,1
495,0
496,0
497,1
498,2
499,3
500,6
501,6
502,6
503,5
504,1
505,1
506,1
507,1
508,1
509,2
510,1
511,2
512,2
513,1
514,1
515,0
516,0
517,1
518,1
519,1
520,2
521,2
522,3
523,3
524,2
525,1
526,0
527,1
528,1
529,1
530,1
531,0
