Second,Agreement
0,0
1,0
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,0
10,1
11,2
12,3
13,3
14,3
15,2
16,2
17,5
18,6
19,6
20,6
21,5
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,1
33,1
34,1
35,0
36,0
37,0
38,0
39,0
40,1
41,1
42,1
43,2
44,3
45,2
46,2
47,2
48,1
49,1
50,3
51,4
52,4
53,4
54,3
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,1
68,3
69,6
70,6
71,5
72,6
73,5
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,3
114,4
115,3
116,4
117,4
118,3
119,1
120,1
121,0
122,0
123,0
124,0
125,0
126,2
127,2
128,2
129,2
130,5
131,3
132,3
133,3
134,3
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,2
148,2
149,2
150,1
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,2
160,2
161,2
162,2
163,2
164,1
165,1
166,1
167,2
168,4
169,3
170,3
171,3
172,2
173,0
174,0
175,0
176,0
177,1
178,1
179,1
180,1
181,1
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,4
201,4
202,4
203,4
204,4
205,0
206,0
207,0
208,0
209,0
210,2
211,2
212,2
213,2
214,2
215,0
216,1
217,1
218,2
219,5
220,5
221,4
222,5
223,5
224,2
225,2
226,2
227,1
228,2
229,2
230,3
231,4
232,6
233,7
234,7
235,5
236,4
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,1
249,1
250,2
251,2
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,1
280,1
281,1
282,2
283,1
284,1
285,1
286,1
287,0
288,1
289,2
290,3
291,3
292,3
293,2
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,2
304,5
305,5
306,5
307,5
308,3
309,1
310,1
311,1
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,0
329,1
330,1
331,1
332,1
333,2
334,1
335,2
336,2
337,2
338,1
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,1
351,1
352,1
353,1
354,2
355,1
356,1
357,2
358,2
359,1
360,1
361,1
362,1
363,1
364,3
365,3
366,3
367,2
368,2
369,0
370,0
371,0
372,0
373,1
374,1
375,1
376,2
377,2
378,2
379,2
380,2
381,1
382,2
383,1
384,1
385,1
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,2
398,2
399,3
400,4
401,4
402,3
403,4
404,4
405,3
406,3
407,2
408,2
409,2
410,3
411,3
412,3
413,2
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,1
424,1
425,2
426,2
427,2
428,2
429,3
430,5
431,5
432,5
433,7
434,6
435,3
436,2
437,2
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,1
448,1
449,1
450,1
451,1
452,0
453,1
454,1
455,1
456,1
457,2
458,1
459,1
460,1
461,2
462,1
463,2
464,2
465,2
466,1
467,1
468,0
469,0
470,0
471,1
472,1
473,1
474,1
475,1
476,0
477,0
478,0
479,0
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,0
491,0
492,0
493,0
494,0
495,0
496,1
497,1
498,1
499,1
500,2
501,1
502,1
503,1
504,1
505,0
506,1
507,1
508,1
509,1
510,1
511,0
512,0
513,0
514,0
515,1
516,1
517,1
518,1
519,1
520,0
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,1
529,3
530,3
531,3
