video,event_index,start_idx,end_idx,within_mean,across_mean,z,p,n_pairs
friends1,1,0,51,0.5261061,0.13374686,136.05553,0.0,1326
friends1,2,51,100,0.44294518,0.15170148,116.461655,0.0,1225
friends1,3,100,111,0.82950985,0.14232129,70.90084,0.0,66
friends1,4,111,124,0.6034497,0.14385132,39.258495,0.0,91
friends1,5,124,146,0.6717427,0.17455454,64.01149,0.0,253
friends1,6,146,206,0.4286481,0.18847366,77.92477,0.0,1830
friends1,7,206,244,0.49127248,0.18241361,74.70563,0.0,741
friends1,8,244,282,0.4970044,0.18339932,76.71977,0.0,741
friends1,9,282,306,0.60697234,0.13186651,90.8925,0.0,300
friends1,10,306,334,0.5780816,0.17653799,108.17274,0.0,406
friends1,11,334,346,0.6220894,0.17969568,34.281704,0.0,78
friends1,12,346,376,0.6366754,0.2295645,74.96055,0.0,465
friends1,13,376,450,0.39622852,0.20226061,96.71314,0.0,2775
friends1,14,450,501,0.48863697,0.18739459,88.32699,0.0,1326
friends1,15,501,537,0.48524755,0.122688055,112.86109,0.0,666
friends1,16,537,578,0.42482963,0.17683801,58.128468,0.0,861
friends1,17,578,612,0.3603833,0.14302221,61.421352,0.0,595
friends1,18,612,622,0.8654784,0.17441006,50.0164,0.0,55
friends1,19,622,781,0.2911704,0.17579676,117.35287,0.0,12720
friends1,20,781,834,0.43328455,0.1950039,79.88893,0.0,1431
friends1,21,834,861,0.5618419,0.17895727,65.57837,0.0,378
friends1,22,861,894,0.7681321,0.13827838,157.86545,0.0,561
friends1,23,894,924,0.52387816,0.18716006,63.4876,0.0,465
friends1,24,924,991,0.43169585,0.19471589,99.07659,0.0,2278
friends1,25,991,1042,0.4011699,0.16680948,73.03485,0.0,1326
friends1,26,1042,1059,0.8191383,0.22180021,58.29309,0.0,153
friends1,27,1059,1091,0.43051833,0.1512646,73.540596,0.0,528
friends1,28,1091,1247,0.23495565,0.1512736,79.82058,0.0,12246
