video,event_index,start_idx,end_idx,within_mean,across_mean,z,p,n_pairs
friends1,1,0,51,0.5261061,0.13374686,136.05553,0.0,1326
friends1,2,51,100,0.44294518,0.15170148,116.461655,0.0,1225
friends1,3,100,111,0.82950985,0.14232129,70.90084,0.0,66
friends1,4,111,124,0.6034497,0.14385132,39.258495,0.0,91
friends1,5,124,146,0.6717427,0.17455454,64.01149,0.0,253
friends1,6,146,206,0.4286481,0.18847366,77.92477,0.0,1830
friends1,7,206,244,0.49127248,0.18241361,74.70563,0.0,741
friends1,8,244,282,0.4970044,0.18339932,76.71977,0.0,741
friends1,9,282,306,0.60697234,0.13186651,90.8925,0.0,300
friends1,10,306,334,0.5780816,0.17653799,108.17274,0.0,406
friends1,11,334,346,0.6220894,0.17969568,34.281704,0.0,78
friends1,12,346,376,0.6366754,0.2295645,74.96055,0.0,465
friends1,13,376,450,0.39622852,0.20226061,96.71314,0.0,2775
friends1,14,450,501,0.48863697,0.18739459,88.32699,0.0,1326
friends1,15,501,537,0.48524755,0.122688055,112.86109,0.0,666
friends1,16,537,578,0.42482963,0.17683801,58.128468,0.0,861
friends1,17,578,612,0.3603833,0.14302221,61.421352,0.0,595
friends1,18,612,622,0.8654784,0.17441006,50.0164,0.0,55
friends1,19,622,781,0.2911704,0.17579676,117.35287,0.0,12720
friends1,20,781,834,0.43328455,0.1950039,79.88893,0.0,1431
friends1,21,834,861,0.5618419,0.17895727,65.57837,0.0,378
friends1,22,861,894,0.7681321,0.13827838,157.86545,0.0,561
friends1,23,894,924,0.52387816,0.18716006,63.4876,0.0,465
friends1,24,924,991,0.43169585,0.19471589,99.07659,0.0,2278
friends1,25,991,1042,0.4011699,0.16680948,73.03485,0.0,1326
friends1,26,1042,1059,0.8191383,0.22180021,58.29309,0.0,153
friends1,27,1059,1091,0.43051833,0.1512646,73.540596,0.0,528
friends1,28,1091,1247,0.23495565,0.1512736,79.82058,0.0,12246
friends2,1,0,58,0.33922297,0.16066447,67.95703,0.0,1711
friends2,2,58,74,0.8650684,0.2093023,47.450706,0.0,136
friends2,3,74,87,0.8625168,0.2251378,45.464203,0.0,91
friends2,4,87,99,0.79208285,0.18799882,40.50413,0.0,78
friends2,5,99,180,0.35703915,0.19795373,82.13317,0.0,3321
friends2,6,180,200,0.7992228,0.23697054,55.523766,0.0,210
friends2,7,200,363,0.30623353,0.17338355,124.96587,0.0,13366
friends2,8,363,417,0.4656362,0.20102867,84.082985,0.0,1485
friends2,9,417,435,0.7157824,0.21297625,59.12788,0.0,171
friends2,10,435,509,0.39061067,0.18237741,105.37647,0.0,2775
friends2,11,509,577,0.39776418,0.188484,81.24672,0.0,2346
friends2,12,577,602,0.62547493,0.24896249,51.696793,0.0,325
friends2,13,602,640,0.48788777,0.1938232,75.33807,0.0,741
friends2,14,640,722,0.28879374,0.16815445,60.404358,0.0,3403
friends2,15,722,866,0.30102578,0.17681023,98.12104,0.0,10440
friends2,16,866,1008,0.22764161,0.162351,54.028603,0.0,10153
friends2,17,1008,1036,0.5872454,0.16051024,85.64447,0.0,406
friends2,18,1036,1164,0.2622143,0.15186009,92.25556,0.0,8256
friends2,19,1164,1219,0.36510605,0.15808275,70.99038,0.0,1540
friends2,20,1219,1233,0.99999994,0.11328812,144.21368,0.0,105
friends3,1,0,19,0.69264245,0.14550805,72.19667,0.0,190
friends3,2,19,54,0.4785814,0.15806088,80.6465,0.0,630
friends3,3,54,79,0.4847936,0.13786869,72.4411,0.0,325
friends3,4,79,88,0.75516707,0.22334218,30.895864,0.0,45
friends3,5,88,100,0.7640943,0.21580362,38.07228,0.0,78
friends3,6,100,222,0.41980585,0.20280401,172.26747,0.0,7503
friends3,7,222,233,0.82356375,0.20665784,41.44164,0.0,66
friends3,8,233,306,0.38222313,0.17276745,111.4351,0.0,2701
friends3,9,306,402,0.32580572,0.16058552,109.85977,0.0,4656
friends3,10,402,432,0.57462275,0.20736468,58.019127,0.0,465
friends3,11,432,548,0.3221726,0.16281438,109.3653,0.0,6786
friends3,12,548,620,0.41256124,0.1940882,92.62546,0.0,2628
friends3,13,620,835,0.23232543,0.16774137,84.02693,0.0,23220
friends3,14,835,855,0.58001316,0.16429977,57.47525,0.0,210
friends3,15,855,1045,0.26695928,0.1819527,97.95238,0.0,18145
friends3,16,1045,1065,0.719145,0.20712304,74.427025,0.0,210
friends3,17,1065,1164,0.30746356,0.18609469,81.73869,0.0,4950
friends3,18,1164,1219,0.51020616,0.21414529,88.56787,0.0,1540
friends3,19,1219,1247,0.60341454,0.155553,95.487,0.0,406
