time,text
7.5," You know what? It seems like all of a sudden, so much is happening. I know. Ross is getting married. Phoebe's making people? Everybody's doing stuff. Yeah, we just sit here."
8.5," You know what? It seems like all of a sudden, so much is happening. I know. Ross is getting married. Phoebe's making people? Everybody's doing stuff. Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair."
9.5," You know what? It seems like all of a sudden, so much is happening. I know. Ross is getting married. Phoebe's making people? Everybody's doing stuff. Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair."
10.5," You know what? It seems like all of a sudden, so much is happening. I know. Ross is getting married. Phoebe's making people? Everybody's doing stuff. Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair."
11.5,"It seems like all of a sudden, so much is happening. I know. Ross is getting married. Phoebe's making people? Everybody's doing stuff. Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair."
12.5,"I know. Ross is getting married. Phoebe's making people? Everybody's doing stuff. Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair."
13.5,"I know. Ross is getting married. Phoebe's making people? Everybody's doing stuff. Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair."
14.5,"I know. Ross is getting married. Phoebe's making people? Everybody's doing stuff. Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair."
15.5,"Ross is getting married. Phoebe's making people? Everybody's doing stuff. Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair. But we have to do something, okay?"
16.5,"Phoebe's making people? Everybody's doing stuff. Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair. But we have to do something, okay?"
17.5,"Everybody's doing stuff. Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair. But we have to do something, okay? Something huge."
18.5,"Everybody's doing stuff. Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair. But we have to do something, okay? Something huge."
19.5,"Everybody's doing stuff. Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair. But we have to do something, okay? Something huge. We could climb Mount Everest."
20.5,"Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair. But we have to do something, okay? Something huge. We could climb Mount Everest."
21.5,"Yeah, we just sit here. I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair. But we have to do something, okay? Something huge. We could climb Mount Everest."
22.5,"I mean, if I died, the only way people would even know that I was here would be by the aspirin on this chair. But we have to do something, okay? Something huge. We could climb Mount Everest.  No, no, no. Not something stupid, something huge."
23.5,"But we have to do something, okay? Something huge. We could climb Mount Everest.  No, no, no. Not something stupid, something huge."
24.5,"But we have to do something, okay? Something huge. We could climb Mount Everest.  No, no, no. Not something stupid, something huge."
25.5,"But we have to do something, okay? Something huge. We could climb Mount Everest.  No, no, no. Not something stupid, something huge. No, no, no, no. I saw an ad for this video."
26.5,"But we have to do something, okay? Something huge. We could climb Mount Everest.  No, no, no. Not something stupid, something huge. No, no, no, no. I saw an ad for this video."
27.5,"But we have to do something, okay? Something huge. We could climb Mount Everest.  No, no, no. Not something stupid, something huge. No, no, no, no. I saw an ad for this video. People climb that thing every day."
28.5,"But we have to do something, okay? Something huge. We could climb Mount Everest.  No, no, no. Not something stupid, something huge. No, no, no, no. I saw an ad for this video. People climb that thing every day. We could totally do that."
29.5,"But we have to do something, okay? Something huge. We could climb Mount Everest.  No, no, no. Not something stupid, something huge. No, no, no, no. I saw an ad for this video. People climb that thing every day. We could totally do that."
30.5,"Something huge. We could climb Mount Everest.  No, no, no. Not something stupid, something huge. No, no, no, no. I saw an ad for this video. People climb that thing every day. We could totally do that."
31.5,"Something huge. We could climb Mount Everest.  No, no, no. Not something stupid, something huge. No, no, no, no. I saw an ad for this video. People climb that thing every day. We could totally do that. Why not? I mean, it's just, it's just climbing."
32.5,"We could climb Mount Everest.  No, no, no. Not something stupid, something huge. No, no, no, no. I saw an ad for this video. People climb that thing every day. We could totally do that. Why not? I mean, it's just, it's just climbing."
33.5,"We could climb Mount Everest.  No, no, no. Not something stupid, something huge. No, no, no, no. I saw an ad for this video. People climb that thing every day. We could totally do that. Why not? I mean, it's just, it's just climbing. It's just, it's just steep."
34.5," No, no, no. Not something stupid, something huge. No, no, no, no. I saw an ad for this video. People climb that thing every day. We could totally do that. Why not? I mean, it's just, it's just climbing. It's just, it's just steep."
35.5," No, no, no. Not something stupid, something huge. No, no, no, no. I saw an ad for this video. People climb that thing every day. We could totally do that. Why not? I mean, it's just, it's just climbing. It's just, it's just steep."
36.5," No, no, no. Not something stupid, something huge. No, no, no, no. I saw an ad for this video. People climb that thing every day. We could totally do that. Why not? I mean, it's just, it's just climbing. It's just, it's just steep."
37.5,"No, no, no, no. I saw an ad for this video. People climb that thing every day. We could totally do that. Why not? I mean, it's just, it's just climbing. It's just, it's just steep. We're going Everest, okay?"
38.5,"No, no, no, no. I saw an ad for this video. People climb that thing every day. We could totally do that. Why not? I mean, it's just, it's just climbing. It's just, it's just steep. We're going Everest, okay?"
39.5,"No, no, no, no. I saw an ad for this video. People climb that thing every day. We could totally do that. Why not? I mean, it's just, it's just climbing. It's just, it's just steep. We're going Everest, okay? It'd be nice to leave an aspirin on Everest."
40.5,"People climb that thing every day. We could totally do that. Why not? I mean, it's just, it's just climbing. It's just, it's just steep. We're going Everest, okay? It'd be nice to leave an aspirin on Everest."
41.5,"People climb that thing every day. We could totally do that. Why not? I mean, it's just, it's just climbing. It's just, it's just steep. We're going Everest, okay? It'd be nice to leave an aspirin on Everest."
42.5,"We could totally do that. Why not? I mean, it's just, it's just climbing. It's just, it's just steep. We're going Everest, okay? It'd be nice to leave an aspirin on Everest."
43.5,"Why not? I mean, it's just, it's just climbing. It's just, it's just steep. We're going Everest, okay? It'd be nice to leave an aspirin on Everest. Hey."
44.5,"Why not? I mean, it's just, it's just climbing. It's just, it's just steep. We're going Everest, okay? It'd be nice to leave an aspirin on Everest. Hey.  We're gonna climb Mount Everett."
45.5,"Why not? I mean, it's just, it's just climbing. It's just, it's just steep. We're going Everest, okay? It'd be nice to leave an aspirin on Everest. Hey.  We're gonna climb Mount Everett."
46.5,"It's just, it's just steep. We're going Everest, okay? It'd be nice to leave an aspirin on Everest. Hey.  We're gonna climb Mount Everett. Yeah, baby. Really?"
47.5,"It's just, it's just steep. We're going Everest, okay? It'd be nice to leave an aspirin on Everest. Hey.  We're gonna climb Mount Everett. Yeah, baby. Really?"
48.5,"We're going Everest, okay? It'd be nice to leave an aspirin on Everest. Hey.  We're gonna climb Mount Everett. Yeah, baby. Really? I looked into that."
49.5,"We're going Everest, okay? It'd be nice to leave an aspirin on Everest. Hey.  We're gonna climb Mount Everett. Yeah, baby. Really? I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die."
50.5,"We're going Everest, okay? It'd be nice to leave an aspirin on Everest. Hey.  We're gonna climb Mount Everett. Yeah, baby. Really? I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die."
51.5,"We're going Everest, okay? It'd be nice to leave an aspirin on Everest. Hey.  We're gonna climb Mount Everett. Yeah, baby. Really? I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die."
52.5,"It'd be nice to leave an aspirin on Everest. Hey.  We're gonna climb Mount Everett. Yeah, baby. Really? I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die."
53.5,"It'd be nice to leave an aspirin on Everest. Hey.  We're gonna climb Mount Everett. Yeah, baby. Really? I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die."
54.5,"Hey.  We're gonna climb Mount Everett. Yeah, baby. Really? I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die. And... and you would die."
55.5,"Hey.  We're gonna climb Mount Everett. Yeah, baby. Really? I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die. And... and you would die."
56.5,"Hey.  We're gonna climb Mount Everett. Yeah, baby. Really? I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die. And... and you would die. Oh."
57.5,"Hey.  We're gonna climb Mount Everett. Yeah, baby. Really? I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die. And... and you would die. Oh."
58.5," We're gonna climb Mount Everett. Yeah, baby. Really? I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die. And... and you would die. Oh."
59.5,"Yeah, baby. Really? I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die. And... and you would die. Oh."
60.5,"Yeah, baby. Really? I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die. And... and you would die. Oh."
61.5,"I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die. And... and you would die. Oh. We could get that Everett's video, though."
62.5,"I looked into that. Yeah, but, I mean, it costs like $60,000 and, you know, you could die. And... and you would die. Oh. We could get that Everett's video, though."
63.5,"Yeah, but, I mean, it costs like $60,000 and, you know, you could die. And... and you would die. Oh. We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all."
64.5,"And... and you would die. Oh. We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all."
65.5,"And... and you would die. Oh. We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all."
66.5,"And... and you would die. Oh. We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all."
67.5,"And... and you would die. Oh. We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all. And while we're down at the video store, you know what else we could rent?"
68.5,"And... and you would die. Oh. We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all. And while we're down at the video store, you know what else we could rent?"
69.5,"Oh. We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all. And while we're down at the video store, you know what else we could rent?"
70.5,"Oh. We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all. And while we're down at the video store, you know what else we could rent? Die hard."
71.5,"We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all. And while we're down at the video store, you know what else we could rent? Die hard."
72.5,"We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all. And while we're down at the video store, you know what else we could rent? Die hard."
73.5,"We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all. And while we're down at the video store, you know what else we could rent? Die hard.  You know what? I just remembered that everything is only available through mail order."
74.5,"We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all. And while we're down at the video store, you know what else we could rent? Die hard.  You know what? I just remembered that everything is only available through mail order."
75.5,"We could get that Everett's video, though. Yeah, we could do that without, you know, risking our lives at all. And while we're down at the video store, you know what else we could rent? Die hard.  You know what? I just remembered that everything is only available through mail order."
76.5,"Yeah, we could do that without, you know, risking our lives at all. And while we're down at the video store, you know what else we could rent? Die hard.  You know what? I just remembered that everything is only available through mail order."
77.5,"Yeah, we could do that without, you know, risking our lives at all. And while we're down at the video store, you know what else we could rent? Die hard.  You know what? I just remembered that everything is only available through mail order."
78.5,"And while we're down at the video store, you know what else we could rent? Die hard.  You know what? I just remembered that everything is only available through mail order. Oh, well."
79.5,"And while we're down at the video store, you know what else we could rent? Die hard.  You know what? I just remembered that everything is only available through mail order. Oh, well. So you guys will stay here and hang out with me?"
80.5,"And while we're down at the video store, you know what else we could rent? Die hard.  You know what? I just remembered that everything is only available through mail order. Oh, well. So you guys will stay here and hang out with me?"
81.5,"And while we're down at the video store, you know what else we could rent? Die hard.  You know what? I just remembered that everything is only available through mail order. Oh, well. So you guys will stay here and hang out with me? Yeah."
82.5,"Die hard.  You know what? I just remembered that everything is only available through mail order. Oh, well. So you guys will stay here and hang out with me? Yeah. Yeah."
83.5,"Die hard.  You know what? I just remembered that everything is only available through mail order. Oh, well. So you guys will stay here and hang out with me? Yeah. Yeah. But I'll tell you something."
84.5,"Die hard.  You know what? I just remembered that everything is only available through mail order. Oh, well. So you guys will stay here and hang out with me? Yeah. Yeah. But I'll tell you something."
85.5," You know what? I just remembered that everything is only available through mail order. Oh, well. So you guys will stay here and hang out with me? Yeah. Yeah. But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again."
86.5," You know what? I just remembered that everything is only available through mail order. Oh, well. So you guys will stay here and hang out with me? Yeah. Yeah. But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again."
87.5," You know what? I just remembered that everything is only available through mail order. Oh, well. So you guys will stay here and hang out with me? Yeah. Yeah. But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again."
88.5,"Oh, well. So you guys will stay here and hang out with me? Yeah. Yeah. But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again."
89.5,"Oh, well. So you guys will stay here and hang out with me? Yeah. Yeah. But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again."
90.5,"Oh, well. So you guys will stay here and hang out with me? Yeah. Yeah. But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again. Yeah, we are."
91.5,"Oh, well. So you guys will stay here and hang out with me? Yeah. Yeah. But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again. Yeah, we are."
92.5,"Oh, well. So you guys will stay here and hang out with me? Yeah. Yeah. But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again. Yeah, we are."
93.5,"So you guys will stay here and hang out with me? Yeah. Yeah. But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again. Yeah, we are."
94.5,"Yeah. Yeah. But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again. Yeah, we are. So no one told you life was going to be this way."
95.5,"Yeah. Yeah. But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again. Yeah, we are. So no one told you life was going to be this way."
96.5,"Yeah. But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again. Yeah, we are. So no one told you life was going to be this way."
97.5,"But I'll tell you something. One of these days, we're going to get off our butts and rip diehard again. Yeah, we are. So no one told you life was going to be this way."
98.5,"One of these days, we're going to get off our butts and rip diehard again. Yeah, we are. So no one told you life was going to be this way."
