VideoName,ConsensusTime(s),ParticipantsInAgreement,TotalMarksInCluster
friends1.mp4,51.136,7,7
friends1.mp4,122.777,9,75
friends1.mp4,207.132,10,14
friends1.mp4,243.818,8,8
friends1.mp4,276.955,9,10
friends1.mp4,305.308,6,6
friends1.mp4,332.229,10,13
friends1.mp4,345.194,7,7
friends1.mp4,375.893,10,13
friends1.mp4,412.757,6,7
friends1.mp4,450.257,10,12
friends1.mp4,486.455,5,6
friends1.mp4,502.981,9,11
friends1.mp4,536.538,6,6
friends1.mp4,576.88,8,9
friends1.mp4,610.967,7,8
friends1.mp4,622.091,7,7
friends1.mp4,671.605,10,14
friends1.mp4,781.35,8,9
friends1.mp4,830.939,10,16
friends1.mp4,859.566,7,7
friends1.mp4,893.953,10,12
friends1.mp4,926.672,8,12
friends1.mp4,990.709,6,6
friends1.mp4,1041.745,8,10
friends1.mp4,1056.469,7,10
friends1.mp4,1097.95,9,20
friends1.mp4,1128.448,7,12
friends1.mp4,1155.088,5,5
friends1.mp4,1201.383,6,8
friends1.mp4,1236.885,6,6
friends1.mp4,1291.193,8,9
friends2.mp4,35.382,5,7
friends2.mp4,75.323,10,91
friends2.mp4,180.688,10,14
friends2.mp4,200.778,8,10
friends2.mp4,258.091,7,7
friends2.mp4,275.523,5,5
friends2.mp4,310.982,6,6
friends2.mp4,361.817,9,10
friends2.mp4,416.887,6,6
friends2.mp4,436.827,9,16
friends2.mp4,475.483,5,5
friends2.mp4,509.118,5,5
friends2.mp4,524.732,5,6
friends2.mp4,580.638,10,13
friends2.mp4,602.797,7,7
friends2.mp4,640.681,8,9
friends2.mp4,722.324,9,10
friends2.mp4,751.399,5,5
friends2.mp4,865.934,9,10
friends2.mp4,882.807,6,9
friends2.mp4,927.519,5,5
friends2.mp4,1009.202,8,10
friends2.mp4,1034.851,7,9
friends2.mp4,1159.583,7,12
friends2.mp4,1179.628,5,5
friends2.mp4,1218.56,5,7
friends2.mp4,1298.952,8,8
friends3.mp4,17.259,7,10
friends3.mp4,52.805,6,6
friends3.mp4,92.171,9,75
friends3.mp4,131.359,7,7
friends3.mp4,166.629,6,9
friends3.mp4,200.881,6,7
friends3.mp4,228.362,10,24
friends3.mp4,306.322,9,9
friends3.mp4,359.641,5,8
friends3.mp4,378.342,7,7
friends3.mp4,404.512,10,13
friends3.mp4,431.393,10,13
friends3.mp4,457.398,6,8
friends3.mp4,547.933,8,8
friends3.mp4,610.711,10,22
friends3.mp4,724.842,5,5
friends3.mp4,733.791,6,6
friends3.mp4,773.607,5,5
friends3.mp4,832.597,7,10
friends3.mp4,854.708,9,11
friends3.mp4,890.36,5,6
friends3.mp4,925.084,5,6
friends3.mp4,1045.726,7,8
friends3.mp4,1065.373,8,10
friends3.mp4,1139.543,6,7
friends3.mp4,1164.644,10,12
friends3.mp4,1218.926,8,8
friends3.mp4,1288.404,8,13
friends3.mp4,1302.686,6,6
