VideoName,ConsensusTime(s),ParticipantsInAgreement,TotalMarksInCluster
friends3.mp4,17.259,7,10
friends3.mp4,52.805,6,6
friends3.mp4,92.171,9,75
friends3.mp4,131.359,7,7
friends3.mp4,166.629,6,9
friends3.mp4,200.881,6,7
friends3.mp4,228.362,10,24
friends3.mp4,306.322,9,9
friends3.mp4,359.641,5,8
friends3.mp4,378.342,7,7
friends3.mp4,404.512,10,13
friends3.mp4,431.393,10,13
friends3.mp4,457.398,6,8
friends3.mp4,547.933,8,8
friends3.mp4,610.711,10,22
friends3.mp4,724.842,5,5
friends3.mp4,733.791,6,6
friends3.mp4,773.607,5,5
friends3.mp4,832.597,7,10
friends3.mp4,854.708,9,11
friends3.mp4,890.36,5,6
friends3.mp4,925.084,5,6
friends3.mp4,1045.726,7,8
friends3.mp4,1065.373,8,10
friends3.mp4,1139.543,6,7
friends3.mp4,1164.644,10,12
friends3.mp4,1218.926,8,8
friends3.mp4,1288.404,8,13
friends3.mp4,1302.686,6,6
