Second,Agreement
0,1
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,1
25,1
26,1
27,2
28,1
29,1
30,1
31,2
32,1
33,1
34,1
35,2
36,1
37,1
38,1
39,2
40,1
41,1
42,2
43,2
44,1
45,1
46,1
47,0
48,4
49,6
50,6
51,7
52,7
53,5
54,3
55,3
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,3
94,3
95,4
96,4
97,4
98,4
99,4
100,3
101,3
102,3
103,2
104,2
105,1
106,1
107,2
108,1
109,1
110,2
111,2
112,1
113,1
114,1
115,0
116,0
117,0
118,1
119,1
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,1
129,1
130,1
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,1
151,1
152,2
153,1
154,1
155,1
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,2
176,3
177,3
178,5
179,5
180,5
181,6
182,4
183,2
184,1
185,2
186,1
187,1
188,1
189,1
190,0
191,0
192,1
193,1
194,2
195,2
196,2
197,3
198,3
199,3
200,3
201,4
202,2
203,2
204,2
205,2
206,1
207,1
208,2
209,1
210,1
211,1
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,0
238,1
239,1
240,1
241,2
242,2
243,1
244,2
245,2
246,1
247,1
248,1
249,0
250,1
251,1
252,1
253,1
254,3
255,3
256,3
257,3
258,3
259,2
260,1
261,1
262,1
263,2
264,1
265,1
266,1
267,1
268,0
269,0
270,0
271,0
272,0
273,3
274,3
275,3
276,3
277,3
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,1
293,2
294,2
295,2
296,2
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,2
308,2
309,2
310,3
311,3
312,1
313,1
314,2
315,1
316,1
317,1
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,3
331,3
332,3
333,3
334,2
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,1
343,1
344,1
345,1
346,1
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,3
359,4
360,5
361,5
362,6
363,4
364,3
365,2
366,2
367,1
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,1
398,1
399,2
400,2
401,2
402,2
403,2
404,1
405,1
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,1
415,1
416,2
417,3
418,3
419,2
420,2
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,1
429,1
430,3
431,4
432,5
433,5
434,7
435,5
436,5
437,4
438,3
439,1
440,1
441,2
442,3
443,3
444,3
445,3
446,2
447,1
448,1
449,0
450,0
451,1
452,1
453,1
454,1
455,1
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,1
464,1
465,2
466,2
467,2
468,1
469,1
470,0
471,1
472,1
473,1
474,2
475,3
476,3
477,3
478,3
479,2
480,1
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,1
491,1
492,1
493,1
494,1
495,0
496,0
497,1
498,1
499,1
500,1
501,1
502,0
503,0
504,0
505,0
506,1
507,3
508,4
509,4
510,4
511,3
512,1
513,0
514,0
515,0
516,1
517,1
518,1
519,1
520,2
521,1
522,1
523,2
524,2
525,1
526,1
527,2
528,2
529,2
530,2
531,2
532,1
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,1
547,1
548,1
549,1
550,1
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,1
559,2
560,2
561,2
562,2
563,2
564,2
565,2
566,1
567,0
568,1
569,1
570,1
571,1
572,1
573,0
574,2
575,5
576,5
577,5
578,5
579,3
580,0
581,0
582,0
583,1
584,2
585,2
586,2
587,2
588,2
589,1
590,2
591,2
592,1
593,1
594,1
595,0
596,0
597,0
598,0
599,3
600,4
601,4
602,4
603,4
604,1
605,1
606,1
607,1
608,1
609,1
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,2
619,2
620,2
621,2
622,2
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,1
636,3
637,4
638,5
639,5
640,4
641,2
642,1
643,1
644,1
645,1
646,1
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,1
666,1
667,1
668,1
669,0
670,0
671,0
672,2
673,3
674,3
675,3
676,3
677,1
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,2
692,2
693,2
694,2
695,1
696,0
697,0
698,0
699,0
700,0
701,2
702,3
703,3
704,3
705,3
706,1
707,0
708,0
709,0
710,0
711,0
712,1
713,1
714,1
715,1
716,1
717,1
718,2
719,2
720,5
721,5
722,5
723,5
724,6
725,2
726,2
727,1
728,1
729,0
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,2
739,2
740,1
741,1
742,1
743,0
744,0
745,0
746,0
747,2
748,2
749,2
750,2
751,3
752,2
753,2
754,2
755,2
756,1
757,0
758,0
759,0
760,0
761,0
762,0
763,1
764,1
765,1
766,2
767,2
768,1
769,2
770,2
771,1
772,1
773,1
774,0
775,0
776,0
777,1
778,1
779,1
780,1
781,1
782,1
783,2
784,2
785,1
786,1
787,1
788,0
789,0
790,0
791,0
792,0
793,0
794,1
795,1
796,1
797,1
798,1
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,1
811,1
