ParticipantID,VideoName,BoundaryTime(s)
10,friends1.mp4,24.353
10,friends1.mp4,36.946
10,friends1.mp4,49.49
10,friends1.mp4,65.035
10,friends1.mp4,79.23
10,friends1.mp4,173.989
10,friends1.mp4,216.556
10,friends1.mp4,235.804
10,friends1.mp4,246.663
10,friends1.mp4,276.904
10,friends1.mp4,333.249
10,friends1.mp4,349.078
10,friends1.mp4,363.556
10,friends1.mp4,378.718
10,friends1.mp4,410.327
10,friends1.mp4,433.195
10,friends1.mp4,447.289
10,friends1.mp4,453.661
10,friends1.mp4,486.954
10,friends1.mp4,506.937
10,friends1.mp4,535.91
10,friends1.mp4,544.033
10,friends1.mp4,578.61
10,friends1.mp4,614.739
10,friends1.mp4,626.632
10,friends1.mp4,685.295
10,friends1.mp4,697.922
10,friends1.mp4,704.878
10,friends1.mp4,719.539
10,friends1.mp4,724.026
10,friends1.mp4,738.221
10,friends1.mp4,764.241
10,friends1.mp4,782.206
10,friends1.mp4,821.838
10,friends1.mp4,837.617
10,friends1.mp4,896.414
10,friends1.mp4,965.552
10,friends1.mp4,970.923
10,friends1.mp4,982.949
10,friends1.mp4,996.877
10,friends1.mp4,1007.168
10,friends1.mp4,1040.628
10,friends1.mp4,1067.033
10,friends1.mp4,1088.803
10,friends1.mp4,1091.786
10,friends1.mp4,1117.858
10,friends1.mp4,1126.28
10,friends1.mp4,1203.307
10,friends1.mp4,1226.377
10,friends1.mp4,1248.21
10,friends1.mp4,1294.213
